"filename", "language", "JSON", "Markdown", "Batch", "HTML", "PowerShell", "JavaScript", "comment", "blank", "total"
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\README.md", "Markdown", 0, 84, 0, 0, 0, 0, 0, 36, 120
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\approval-panel.html", "HTML", 0, 0, 0, 6226, 0, 0, 0, 816, 7042
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\bot-state.json", "JSON", 210, 0, 0, 0, 0, 0, 0, 0, 210
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\clientes-bot.json", "JSON", 214, 0, 0, 0, 0, 0, 0, 0, 214
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\compras-erp.json", "JSON", 21640, 0, 0, 0, 0, 0, 0, 0, 21640
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\config-bot.json", "JSON", 713, 0, 0, 0, 0, 0, 0, 0, 713
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\costos-bot.json", "JSON", 95, 0, 0, 0, 0, 0, 0, 1, 96
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\eventos-erp.json", "JSON", 181, 0, 0, 0, 0, 0, 0, 0, 181
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\iniciar-bot.bat", "Batch", 0, 0, 27, 0, 0, 0, 0, 4, 31
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\instalar-inicio-automatico.bat", "Batch", 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\instalar-node-portable.bat", "Batch", 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\instalar-node-portable.ps1", "PowerShell", 0, 0, 0, 0, 67, 0, 0, 9, 76
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\lugares-erp.json", "JSON", 53, 0, 0, 0, 0, 0, 0, 0, 53
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\mensajes-bot.json", "JSON", 51, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\package-lock.json", "JSON", 2477, 0, 0, 0, 0, 0, 0, 1, 2478
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\package-whatsapp-catering-bot.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\precios-productos-bot.json", "JSON", 4097, 0, 0, 0, 0, 0, 0, 0, 4097
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\presupuestos-erp.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\proveedores-erp.json", "JSON", 3218, 0, 0, 0, 0, 0, 0, 0, 3218
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\recetas-bot.json", "JSON", 102, 0, 0, 0, 0, 0, 0, 0, 102
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\start-bot.cmd", "Batch", 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\acer\Documents\GitHub\bot-whatsapp-catering-2\whatsapp-catering-bot.js", "JavaScript", 0, 0, 0, 0, 0, 4969, 36, 815, 5820
"Total", "-", 33116, 84, 51, 6226, 67, 4969, 36, 1692, 46241
